ime,oznaka,tezavnost,avtor,stevilo_sestavin,cas_priprave,cas_kuhanja,skupni_cas,dolzina_navodil,energija_100g,energija_porcija
Solata s fižolom in bučkami,Piknik in žar,1,Su. S.,12,15,,15,725,152.37,441.5
Bananin kolaček v skodelici,Na hitro,1,M. J.,9,2,2,4,789,179.91,488.0
Zelenjavna lazanja,Kaj skuhati,1,Sanja Sirk,15,30,65,95,2317,265.92,628.33
Burek z bučkami,Brez mesa,2,Klara Peterlin,9,60,40,100,1254,256.5,636.25
Hitri piščančji tacosi,Meso,1,Su. S.,16,20,20,40,788,199.34,376.25
Piščanec s parmezanom,Meso,1,Su. S.,14,20,30,50,1015,214.58,566.75
Bučkini polpeti v pečici,Zelenjava,1,M. H. J.,5,45,35,80,834,118.29,242.5
Ledene kocke s sadjem,Sladice,1,Su. S.,18,60,45,105,1474,313.79,361.42
Jogurtove rezine s sadjem in piškoti (brez peke),Sladice,1,Sanja Sirk,10,30,15,45,1531,143.5,89.67
Krompirjeva poletna solata,Piknik in žar,1,Su. S.,11,15,35,50,1045,79.09,255.25
Pečena ovsena kaša z breskvami,Zajtrk,1,Su. S.,9,10,45,55,696,175.55,377.75
Bučkine rezine z jogurtom in sirom,Poletje,1,M. J.,11,15,45,60,1252,125.55,213.33
Kumare v omaki,Brez mesa,1,M. J.,10,10,30,40,1115,34.76,109.5
Marelično pecivo s čokoladnim drobljencem in skuto,Sladice,1,M. J.,15,30,55,85,1143,215.95,584.33
Dušena vratovina v omaki s papriko,Meso,1,M. J.,11,10,120,130,1757,135.95,457.5
"Rižota s piščancem, papriko in paradižnikom",Kosilo,1,M. J.,10,12,40,52,1118,161.54,404.25
Rolada z bučkami in mletim mesom,Video recepti,1,Su. S.,8,20,30,50,764,188.53,867.25
Falafel z jogurtovim ploščatim kruhom,Plant based,2,Klara Peterlin,18,25,20,45,826,218.88,691.67
Kokosove kocke brez peke,Sladice,1,Su. S.,9,15,15,30,1002,272.51,712.0
Bezgova strjenka z jagodnim prelivom,Sladice,1,Sanja Sirk,8,25,5,30,1557,95.13,61.0
Zelenjavna mineštra,Juhe in jedi na žlico,1,Su. S.,17,20,40,60,594,138.16,1008.25
Češnjevo pecivo z makom in limonino kremo,Pecivo,1,Sanja Sirk,26,30,40,70,1593,274.4,326.25
Goveji zrezki v naravni omaki,Kaj skuhati,1,Sanja Sirk,10,10,60,70,1214,203.17,452.67
Rahla rikotina krema z balzamičnimi jagodami,Sladice,1,M. J.,7,130,,130,859,153.85,389.83
Maslen mlad krompir s šparglji in zelišči,Priloge,1,Su. S.,7,15,40,55,655,78.3,271.5
Jogurtovo pecivo s češnjami,Pomlad,1,M. J.,8,20,40,60,839,178.04,411.0
Mandljev kolač z marelicami,Sladice,1,M. J.,12,15,45,60,1344,389.0,371.25
Testenine v kremni omaki s šparglji in piščancem,Na hitro,1,M. J.,7,10,15,25,1269,227.38,557.25
Bezgov sirup z jagodami,Triki in nasveti,1,M. J.,6,30,,30,1306,140.59,618.6
Testenine v kremni omaki s sušenimi paradižniki,Na hitro,1,Su. S.,11,10,15,25,947,243.37,640.25
Krompirjeva solata z mladim krompirjem,Solate,1,M. J.,10,45,15,60,1323,113.98,256.83
Ribje polpete,Ribe in morski sadeži,1,Sanja Sirk,11,15,25,40,1168,153.47,325.75
Preprosto borovničevo pecivo,Sladice,1,M. J.,10,15,45,60,1326,244.65,362.13
Spanakopita (grška špinačna pita),Zelenjava,1,M. J.,11,15,60,75,1589,178.33,856.0
Svinjska rebra iz pečice s krompirjem in zelenjavo,Kaj skuhati,1,Sanja Sirk,12,10,100,110,1413,124.59,959.5
Testenine z lososovo omako iz pečice,Na hitro,1,M. J.,8,5,30,35,1142,248.83,958.0
Zelenjavni spomladanski zavitki,Veganstvo,1,Klara Peterlin,11,20,25,45,916,80.37,430.0
Piščanec z mladim krompirjem in šparglji iz pečice,Kosilo,1,Su. S.,17,20,40,60,1224,113.29,626.5
Zapečene tortilje s piščancem,Kaj skuhati,1,Su. S.,12,20,20,40,1180,161.81,699.0
Tzatziki skleda s pečenim krompirjem,Brez mesa,1,Su. S.,11,20,35,55,1044,66.98,395.0
"Solata s šparglji, feto in orehi",Solate,1,Su. S.,9,10,10,20,798,111.41,200.0
Krhke košarice z mascarpone kremo in sadjem,Pecivo,1,M. J.,13,30,20,50,1981,423.7,351.5
Regratov sirup,Zdravo in vegi,1,M. J.,4,15,25,40,1296,150.05,307.6
Pečeni kaneloni s skuto,Kaj skuhati,2,Sanja Sirk,17,30,80,110,2120,199.43,583.67
"Beljakova rolada z maskarponejem, belo čokolado in malinami",Brez glutena,1,Su. S.,10,35,25,60,1317,249.27,246.5
Rahle palačinke z rikoto in limono,Sladice,1,M. J.,14,10,20,30,1395,248.6,280.83
Mille foglie s karamelno kremo (iz MasterChef Slovenija),MasterChef,1,MasterChef,11,20,40,60,1623,448.38,499.5
Karamelno gnezdo (iz MasterChef Slovenija),MasterChef,1,MasterChef,1,10,10,20,404,387.0,290.25
Snežne kepe s karamelno angleško omako (iz MasterChef Slovenija),MasterChef,1,MasterChef,8,20,20,40,954,121.25,425.75
Makaroni s šunko in šparglji,Kaj skuhati,1,Su. S.,12,10,10,20,936,129.14,571.75
Pomladna solata z grahom in jajci,Solate,1,Su. S.,13,20,,20,639,104.99,305.0
Gorenjska prata,Slovenska,2,S. M.,7,15,30,45,1035,207.36,388.6
Hren z jajci in bučnim oljem,Velika noč,1,Su. S.,6,10,10,20,497,131.9,240.75
Umešan tofu,Veganstvo,1,Klara Peterlin,11,5,20,25,1064,109.43,246.0
Velikonočni kvašeni zajčki,Velika noč,1,Sanja Sirk,13,120,20,140,1344,340.1,633.83
Skutini njoki s šparglji,Na hitro,1,Su. S.,13,20,15,35,893,144.54,548.25
Jagodna krema s svežimi jagodami,Pomlad,1,M. J.,6,30,3,33,1563,73.23,125.17
Pomladna fritata s šparglji iz pečice,Na hitro,1,Su. S.,11,10,20,30,865,120.82,217.5
Losos v kremni špinačni omaki z rezanci,Kosilo,1,M. J.,11,10,20,30,1501,192.37,736.0
Pomladna piščančja obara z žličniki,Kaj skuhati,1,Su. S.,19,20,45,65,1808,148.94,622.75
Italijanski kolač z zdrobom in rikoto (Migliaccio),Pecivo,1,M. J.,12,15,70,85,1361,249.12,361.5
Quesadilla z mletim mesom v pekaču,Kaj skuhati,1,Su. S.,15,20,25,45,1229,248.19,851.25
Kapri pecivo z malinami,Sladice,2,M. J.,20,210,30,240,2326,247.28,522.67
Pečena cvetača z bešamelom,Zelenjava,1,M. J.,6,5,40,45,1259,117.89,504.0
Rahla skutina krema z jagodami,Sladice,1,Su. S.,9,20,,20,549,113.52,259.75
Testenine z arašidovim maslom,Veganstvo,1,Klara Peterlin,17,10,20,30,1271,172.76,666.0
Svinjska ribica v poprovi omaki s koruznimi njoki,Kaj skuhati,1,Sanja Sirk,16,15,40,55,1475,216.17,1016.5
Špargljeva juha s krompirjem,Juhe in jedi na žlico,1,M. J.,7,10,25,35,1513,71.07,197.75
Fritata s čebulo,Jajčne jedi,1,M. J.,5,5,15,20,959,92.71,190.75
Pita zeljanica,Kosilo,1,Sanja Sirk,10,45,40,85,1424,184.03,449.17
Piščančji burger z domačo omako,Kosilo,1,Su. S.,23,30,10,40,1237,230.33,737.5
Clafoutis (klafuti) z jagodami,Sladice,1,M. J.,11,10,40,50,902,117.48,168.83
Orehova rolada z maskarponejevo kremo,Zabava,2,M. J.,9,20,20,40,1469,281.35,300.75
Lignji v omaki z olivami in polenta z začimbami,Ribe in morski sadeži,1,M. J.,17,10,35,45,1521,108.21,601.0
Pečeni njoki s špinačo in gorgonzolo,Kaj skuhati,1,M. J.,9,5,40,45,863,136.68,452.0
Preprosta jagodna sladica v kozarcu,Sladice,1,M. J.,12,20,,20,1178,165.63,231.25
Italijanska kremna piščančja juha z njoki,Juhe in jedi na žlico,1,M. J.,17,15,30,45,1540,134.5,488.75
Losos v smetanovi omaki z grahom,Ribe in morski sadeži,1,Su. S.,8,10,25,35,1340,155.54,466.75
Krhko pecivo s pudingovo kremo in jagodami,Sladice,1,M. J.,15,30,50,80,2103,249.33,398.13
Pečeni piščanec v mleku,Kaj skuhati,2,M. J.,9,5,120,125,1147,175.27,582.67
Kremna kokosova pita,Sladice,1,M. J.,13,40,10,50,1254,415.95,423.13
Rahlo pecivo z marmelado in kokosom,Sladice,1,M. J.,11,20,40,60,1163,333.93,465.0
Beneške miške z vanilijevo kremo,Sladice,2,Su. S.,16,30,40,70,1405,311.04,307.88
Kvašeni flancati rožice,Sladice,1,Sanja Sirk,12,90,25,115,1241,356.83,696.0
Kaneloni z mletim mesom,Kosilo,1,M. J.,16,45,50,95,1535,230.66,698.5
Porova rižota,Kosilo,1,M. J.,8,10,40,50,1160,264.13,568.0
Čupava Kata,Sladice,1,Sanja Sirk,10,40,30,70,767,422.5,544.5
Pirin kruh brez gnetenja,Testenine in žita,1,M. J.,6,15,45,60,2219,342.14,399.75
Brstični ohrovt z gorčičnim prelivom,Zelenjava,1,M. J.,7,10,15,25,688,80.07,113.5
Svinjska ribica z zelenjavo iz pečice,Kaj skuhati,1,Su. S.,11,15,50,65,931,62.67,192.0
Hitre čokoladne rezine s skutino kremo,Sladice,1,Su. S.,14,25,20,45,984,254.74,344.63
Topli sendvič s tuno,Na hitro,1,M. J.,10,10,10,20,964,206.22,464.0
Pica brez kvasa,Triki in nasveti,1,M. J.,5,25,,25,706,374.92,497.0
Špageti v hitri paradižnikovi omaki s sardelami,Na hitro,1,Su. S.,9,10,20,30,1101,143.18,592.75
Preprost bananin kruh,Piknik in žar,1,M. J.,11,10,60,70,1341,202.85,341.17
Piščančja juha z zdrobovimi žličniki,Juhe in jedi na žlico,1,M. J.,15,10,80,90,2196,65.64,599.75
Pečen svinjski vrat v naravni omaki,Meso,1,M. J.,13,10,205,215,1712,179.34,680.67
"Ajdove testenine s krompirjem, ohrovtom in sirom",Italijanska,1,M. J.,12,45,25,70,2158,258.81,607.83
Sočne piščančje kroglice iz pečice,Kaj skuhati,1,M. J.,14,15,30,45,1413,190.99,334.0
Tortelini s šunko in smetano,Na hitro,1,M. J.,7,5,15,20,888,307.77,671.25
Kruhovi cmoki z govedino iz juhe,Zero waste,1,M. H. J.,9,45,10,55,773,171.89,364.0
Rezanci s piščančjimi jetrci,Kosilo,1,M. J.,13,15,50,65,1573,143.36,517.5
Polnjena svinjska rebra,Meso,1,Sanja Sirk,14,20,100,120,1426,297.64,1310.67
Babičina dobrota,Pecivo,1,Su. S.,11,25,30,55,818,253.98,468.38
Makova pita,Sladice,1,M. J.,14,50,50,100,1700,410.9,638.75
"Pečen losos z rožmarinom, medom in limono",Na hitro,1,M. J.,6,5,15,20,522,219.91,386.5
Testenine v smetanovi omaki s piščancem,Kaj skuhati,1,M. J.,12,10,20,30,2212,273.86,674.25
Zapečene palačinke s skuto in špinačo,Video recepti,1,Su. S.,10,25,20,45,1021,143.54,441.75
Pečena svinjska ribica z medom in gorčico,Meso,1,M. J.,6,5,30,35,991,114.0,199.5
Golaž iz piščančjih želodčkov,Juhe in jedi na žlico,1,M. J.,12,15,100,115,1562,133.13,540.5
Hitro pecivo s skuto in rozinami,Sladice,1,M. J.,15,15,40,55,1295,217.67,349.63
Tajski curry s kozicami,Azijska,1,M. J.,9,5,15,20,998,77.65,226.75
"Toskanske testenine z mletim mesom, češnjevim paradižnikom in špinačo",Kaj skuhati,1,M. J.,13,10,30,40,1312,196.89,658.67
Hitri krofi,Pust,3,Š. Z.,12,60,30,90,2315,269.38,388.83
Prekajena rebra s kislim zeljem,Slovenska,1,M. J.,9,10,55,65,1017,153.15,498.5
Goveja enolončnica z ješprenjem in ohrovtom,Juhe in jedi na žlico,1,M. J.,15,20,135,155,1100,88.77,963.25
Rižota s piščancem in zelenjavo,Testenine in žita,1,M. J.,12,10,30,40,975,168.79,417.75
Limonine cheesecake rezine,Pecivo,2,M. J.,15,30,50,80,2164,320.66,509.88
Zelenjavna mineštra s testeninami,Juhe in jedi na žlico,1,M. J.,18,10,35,45,1589,77.58,334.75
Piščančji fileji v kremni omaki s slanino in koruzo,Kosilo,1,M. J.,11,5,20,25,1490,217.87,439.25
Kruhova štruca (rolada),Priloge,1,M. J.,8,20,35,55,976,217.82,337.75
Riževa torta z rozinami,Sladice,1,M. J.,10,15,80,95,1022,229.31,201.75
Vratovina v čebulni omaki,Meso,1,M. J.,9,10,40,50,1721,144.26,418.0
Magično limonino pecivo,Sladice,1,Su. S.,9,15,55,70,621,342.42,289.13
Brezmesne kroglice v paradižnikovi omaki,Kaj skuhati,1,Su. S.,11,30,20,50,1215,86.75,206.25
Česnova juha s krompirjem,Juhe in jedi na žlico,1,M. J.,10,5,35,40,1374,122.13,210.75
Sočen skutin narastek z rozinami,Sladice,1,M. J.,15,15,40,55,1676,163.44,375.5
Kremne rezine za lene gospodinje (z zdrobom),Sladice,1,Su. S.,10,30,30,60,1362,247.64,548.0
Limona krema z meringo v kozarcu,Sladice,1,M. J.,8,15,10,25,1513,391.02,351.83
Hiter čičerikin curry (kari),Plant based,1,M. J.,12,2,13,15,813,43.04,77.33
Piščančja bedra z zelenjavo iz pečice,Kosilo,1,M. J.,9,15,35,50,723,148.51,663.0
Zdrobov narastek,Sladice,1,M. J.,8,15,45,60,1019,320.0,233.0
Pečen fižol s sirom in jajci,Kosilo,2,M. J.,13,15,140,155,1404,251.63,678.25
Narastek s panettonom in rozinami,Božič in novo leto,1,M. J.,10,15,40,55,1311,296.94,413.75
Salzburški žličniki,Sladice,1,M. J.,9,15,12,27,1284,218.8,206.25
Bananine kocke,Zabava,2,M. J.,18,30,25,55,2091,237.5,947.63
Pica pomaka,Zabava,1,Su. S.,10,10,25,35,486,255.72,597.75
Praznični cheesecake z višnjami in speculaas namazom,Božič in novo leto,1,Kristina Turk,11,30,5,35,1481,397.74,529.1
Kruhki s pečenim brijem,Priložnostno,1,M. J.,12,120,25,145,1762,356.61,427.63
Praznična sladica s penino (brez peke),Sladice,1,Su. S.,6,15,7,22,745,358.81,196.0
Losos s špinačo v listnatem testu,Priložnostno,1,M. J.,13,30,20,50,833,240.04,1334.0
Fižolova enolončnica,Juhe in jedi na žlico,1,M. J.,16,15,70,85,1855,65.17,280.25
Pistacijeva panakota,Sladice,1,M. J.,4,15,4,19,1182,476.13,254.33
Sarma iz pečice,Kosilo,1,Sanja Sirk,16,40,300,340,1560,225.55,421.5
Božična tortica v kozarcu (brez peke),Sladice,1,M. J.,12,30,10,40,1587,301.0,309.38
"Mesna rolada z gobami, špinačo in sirom",Božič in novo leto,1,Su. S.,10,25,25,50,1377,152.78,514.5
Svinjska ribica v listnatem testu,Zabava,2,M. J.,10,35,50,85,1947,168.73,435.75
Praznični marmorni kolač,Sladice,1,Su. S.,14,30,50,80,1359,283.2,263.92
Piškoti s pistacijo in belo čokolado,Božič in novo leto,1,Su. S.,9,30,10,40,1373,450.75,467.38
Kuhano belo vino,Pijača,1,M. J.,6,25,10,35,464,93.26,205.88
Čebelji pik brez peke,Sladice,1,Su. S.,11,30,15,45,1118,417.86,318.92
Zapečeno kislo zelje s piščancem (podvarak),Balkanska,1,M. J.,11,5,120,125,1311,111.98,579.6
Masleni piškoti,Božič in novo leto,1,Su. S.,7,30,10,40,1083,417.29,371.6
Kremna piščančja solata z zeleno in brusnicami,Zima,1,M. J.,10,15,,15,701,165.63,588.0
Božična vroča čokolada,Pijača,1,M. J.,11,5,5,10,930,454.41,228.0
Božični tiramisu v kozarcu,Božič in novo leto,1,M. J.,9,30,,30,1176,359.31,436.38
Nutelline palčke,Pecivo,1,Su. S.,4,20,20,40,764,331.78,713.33
Piščančje roladice v omaki,Meso,1,Sanja Sirk,13,15,40,55,1634,181.34,469.5
Eklerji z vanilijevo in čokoladno kremo,Sladice,1,Sanja Sirk,16,45,55,100,2023,364.02,358.1
Jetrca v omaki s kremno polento,Meso,1,Sanja Sirk,18,20,40,60,1032,98.33,648.25
Kokosova rolada brez peke,Sladice,1,M. J.,9,30,,30,1116,460.6,267.92
Čičerikina juha,Juhe in jedi na žlico,1,M. J.,13,10,20,30,1013,135.76,172.75
Mesne kroglice v gorčični omaki,Meso,1,M. J.,13,10,30,40,1273,214.68,379.5
Londonske rezine,Sladice,1,M. J.,11,75,25,100,1028,417.2,464.83
Piščančji fileji s kremno špinačno omako,Kaj skuhati,1,M. J.,9,5,30,35,1048,156.92,364.25
Zapečeno kislo zelje s klobasami,Kosilo,1,Sanja Sirk,10,10,50,60,931,193.44,648.5
Puhasti krompirjevi kruhki,Kruh,1,Su. S.,7,140,30,170,1314,325.16,772.5
Orehovi piškoti z javorjevim sirupom,Božič in novo leto,1,M. J.,11,20,10,30,1017,450.03,261.25
Segedin golaž s češkimi cmoki,Kaj skuhati,2,M. J.,18,60,80,140,2077,187.38,1279.0
Orehove potičke,Zima,1,Sanja Sirk,17,100,20,120,1577,434.26,619.25
Čokoladno-karamelni piškoti brez peke,Božič in novo leto,1,Sanja Sirk,11,40,10,50,1322,469.36,680.13
Njoki v kremni omaki z lososom,Na hitro,1,Sanja Sirk,9,2,18,20,1078,140.04,249.0
Brownie piškoti,Sladice,1,Su. S.,11,30,12,42,943,431.49,488.13
Limonin kolač s kislo smetano,Sladice,1,M. J.,10,15,45,60,1243,339.78,370.25
Pasulj na hitro,Juhe in jedi na žlico,1,Sanja Sirk,13,5,30,35,833,198.05,380.0
Dušeno sladko zelje s slanino,Jesen,1,M. J.,12,12,45,57,997,106.85,300.25
Sirov kruh v plasteh,Zabava,1,Sanja Sirk,11,100,35,135,1032,333.03,456.33
Pečeno kislo zelje z rebrci,Meso,1,M. J.,10,10,90,100,1320,150.52,655.5
Zapečene testenine z bučno omako,Brez mesa,1,M. J.,11,20,50,70,1133,175.86,799.0
Ocvrta jabolka s skutino kremo,Jesen,1,M. J.,16,15,20,35,878,93.14,258.83
Pečen svinjski hrbet s česnom,Kosilo,1,Su. S.,8,10,75,85,532,141.6,488.0
Piščančja obara z zdrobovimi žličniki,Juhe in jedi na žlico,1,M. J.,15,15,60,75,2221,88.86,562.25
Makovo pecivo z limonino kremo,Sladice,1,M. J.,24,30,50,80,2401,354.0,571.33
Gibanica na hitro ali zmečkana sirnica,Balkanska,1,Sanja Sirk,10,15,45,60,1193,186.21,481.17
Cimetove pletenice,Pecivo,1,M. J.,12,110,30,140,1817,437.32,650.6
Pečen piščanec z zelenjavo in krompirjem,Kosilo,1,Su. S.,9,10,110,120,746,161.53,977.25
Piškoti vanilice,Sladice,1,M. J.,8,30,30,60,1362,445.7,332.42
Hitri pain au chocolat,Sladice,1,M. J.,6,10,20,30,676,358.27,483.67
Mesne kroglice v paradižnikovi omaki,Kaj skuhati,1,M. J.,14,20,50,70,1961,131.67,514.5
Grški jogurt s karameliziranimi jabolki,Sladice,1,M. J.,9,10,15,25,1090,134.76,432.25
Njoki v smetanovi omaki s pršutom,Na hitro,1,M. J.,7,5,15,20,834,117.54,215.25
Puranja rolada s kostanjevim nadevom,Martinovo,1,Su. S.,12,20,30,50,969,163.33,424.25
Orehovo-limonine rezine,Sladice,1,M. J.,12,20,40,60,1065,310.67,348.25
Pečena raca v pečici,Martinovo,1,M. J.,2,10,110,120,1616,211.0,1055.0
Dobri domači mlinci (pečeni v pečici),Testenine in žita,1,M. J.,6,60,40,100,1836,357.94,451.25
Lepljivi piščanec z oreščki,Azijska,1,M. J.,18,10,22,32,1768,250.99,552.0
Miške z jogurtom in jabolki,Jesen,1,M. J.,12,20,20,40,1430,148.94,353.0
Krompirjeva zloženka z ohrovtom,Brez mesa,1,Su. S.,13,30,40,70,1212,96.7,325.75
Zapečeni špecli s sirom,Testenine in žita,1,M. J.,10,40,15,55,1064,295.9,419.0
Piškoti orehi,Pecivo,2,Sanja Sirk,10,60,15,75,730,525.76,268.4
Piškoti orehi,Pecivo,2,Sanja Sirk,10,60,15,75,730,525.76,268.4
Krompirjevi svaljki,Kaj skuhati,1,Sanja Sirk,8,30,35,65,815,162.36,326.75
Čokoladni netopirčki,Noč čarovnic,1,Su. S.,9,20,10,30,772,275.04,267.5
Mesne mumije,Priložnostno,1,Su. S.,13,30,20,50,671,267.89,836.5
Mesna pita s krompirjem,Glavne jedi,1,M. J.,11,15,50,65,1700,186.63,860.5
Narastek z ajdovo kašo in piščancem,Video recepti,1,Su. S.,8,10,60,70,541,225.42,805.5
Jabolčni šarkelj,Sladice,1,M. J.,16,15,55,70,1334,308.04,515.0
Orehovo-pomarančne rezine,Video recepti,1,Su. S.,13,35,25,60,1184,304.01,155.25
Kruhovi cmoki s kremasto gobovo omako,Kosilo,2,M. J.,18,15,30,45,2211,232.11,5607.75
Italijanska poročna juha,Juhe in jedi na žlico,1,M. J.,20,20,35,55,2033,191.94,404.67
Skutina torta s čokoladnim 'pokrovom' (brez testa),Pecivo,1,Su. S.,8,15,50,65,746,221.77,343.75
Kljukuša,Kosilo,1,Sanja Sirk,14,35,45,80,1257,235.22,531.0
Riževa skleda s piščancem,Zdravo in vegi,1,Su. S.,21,30,25,55,1060,181.03,714.25
Kvašeni polžki z Nutello,Sladice,1,Sanja Sirk,9,75,35,110,1015,320.21,194.58
Skutini (sirovi) štruklji z drobtinami,Slovenska,2,M. J.,10,30,45,75,1705,216.47,731.75
Cupcakesi z jabolki in kostanjevo kremo,Sladice,1,Kristina Turk,17,60,25,85,1908,297.24,468.75
Pečeno kislo zelje z mletim mesom in rižem,Jesen,2,M. J.,10,40,60,100,2275,126.34,471.33
Počasi pečena govedina v jabolčniku,Meso,1,Su. S.,11,20,210,230,886,162.68,915.75
Ajdovi žganci z ocvirki in mlekom,Slovenska,1,M. J.,5,10,45,55,1212,149.07,560.5
Budino z jabolčnikom in cimetom,Sladice,1,Su. S.,18,45,,45,1259,362.6,373.75
Humus s pečeno bučo,Zelenjava,1,M. J.,10,15,30,45,1124,164.46,341.25
Jajčna solata s skuto,Solate,1,M. J.,7,10,13,23,1106,99.88,200.25
Dušena goveja rebra v vinski omaki,Meso,2,M. J.,16,15,140,155,1468,122.32,216.5
Jutranji kolač s kosmiči in jabolki,Zajtrk,1,M. J.,9,15,35,50,1090,217.58,144.5
Svinjski kotleti v omaki s papriko,Na hitro,1,Su. S.,11,10,25,35,784,105.62,312.75
Preprosto pecivo z jabolki,Sladice,1,M. J.,12,15,30,45,1352,149.04,392.75
Begova čorba,Juhe in jedi na žlico,1,Sanja Sirk,16,10,70,80,1130,136.25,397.5
Nevidna jabolčna pita,Sladice,1,M. J.,13,15,40,55,858,106.02,240.33
Kavni creme brulee s cimetom in medom,Sladice,1,Kult316,8,15,50,65,687,317.86,74.88
